name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,player_type
Nikita Nesterenko,ANA,C,2500,5.044265515416101,3.74,1.304265515416101,2.0177062061664404,1.2610663788540253,17.61066378854025,skater
Jack McBain,UTA,C,2600,4.991668961931628,5.25,-0.25833103806837165,1.9198726776660109,1.247917240482907,17.47917240482907,skater
Sean Kuraly,BOS,C,2500,4.966451538359472,4.72,0.2464515383594721,1.9865806153437888,1.241612884589868,17.41612884589868,skater
Ian Cole,UTA,D,2600,4.951669160412827,6.08,-1.1283308395871732,1.904488138620318,1.2379172901032067,17.379172901032067,skater
Noah Juulsen,PHI,D,2500,4.9276319552516235,3.33,1.5976319552516234,1.9710527821006494,1.2319079888129059,17.31907988812906,skater
Jonny Brodzinski,NYR,C,2500,4.908926115683583,3.92,0.9889261156835829,1.9635704462734331,1.2272315289208957,17.272315289208958,skater
Daniil But,UTA,W,2700,4.874185608375341,5.0,-0.12581439162465902,1.805253929027904,1.2185464020938352,17.185464020938355,skater
Declan Carlile,TBL,D,2500,4.873496125409072,2.9,1.973496125409072,1.9493984501636288,1.218374031352268,17.18374031352268,skater
Urho Vaakanainen,NYR,D,2500,4.8462801307116035,2.64,2.2062801307116033,1.9385120522846413,1.2115700326779009,17.11570032677901,skater
Taylor Raddysh,NYR,W,2500,4.7934399899996984,3.87,0.9234399899996983,1.9173759959998793,1.1983599974999246,16.983599974999244,skater
Victor Soderstrom,BOS,D,2500,4.7920638073921324,3.75,1.0420638073921324,1.916825522956853,1.1980159518480331,16.98015951848033,skater
Ty Emberson,EDM,D,2500,4.738224719866371,4.97,-0.23177528013362902,1.8952898879465483,1.1845561799665927,16.845561799665926,skater
Nick DeSimone,UTA,D,2500,4.729139237844892,3.39,1.339139237844892,1.8916556951379568,1.182284809461223,16.82284809461223,skater
Travis Mitchell,NYI,D,2500,4.71167125361685,2.81,1.90167125361685,1.8846685014467401,1.1779178134042125,16.779178134042127,skater
Scott Sabourin,TBL,W,2500,4.605407280394505,3.47,1.1354072803945052,1.8421629121578023,1.1513518200986264,16.51351820098626,skater
Kailer Yamamoto,UTA,W,2600,4.5559318118368575,4.05,0.5059318118368576,1.752281466091099,1.1389829529592144,16.38982952959214,skater
Juuso Parssinen,NYR,C,2500,4.476530766205241,3.69,0.786530766205241,1.7906123064820965,1.1191326915513102,16.191326915513102,skater
Andrew Mangiapane,EDM,W,2600,4.396516181085302,3.63,0.7665161810853025,1.6909677619558854,1.0991290452713256,15.991290452713256,skater
Maveric Lamoureux,UTA,D,2500,4.383256304325813,5.74,-1.3567436956741874,1.753302521730325,1.0958140760814532,15.958140760814532,skater
Casey Cizikas,NYI,C,2500,4.338909377757454,3.93,0.40890937775745373,1.7355637511029816,1.0847273444393635,15.847273444393634,skater
Jonathan Aspirot,BOS,D,2500,4.28450305961936,4.21,0.0745030596193601,1.713801223847744,1.07112576490484,15.7112576490484,skater
Alec Regula,EDM,D,2500,4.249384552501978,4.14,0.10938455250197876,1.6997538210007914,1.0623461381254946,15.623461381254947,skater
Sam Carrick,NYR,C,2500,4.2352707013406885,3.4,0.8352707013406886,1.6941082805362755,1.0588176753351721,15.588176753351721,skater
Isaac Howard,EDM,W,2500,4.196482456288255,3.1,1.0964824562882547,1.6785929825153019,1.0491206140720637,15.491206140720637,skater
Marc Gatcomb,NYI,C,2500,4.111008689738517,3.68,0.4310086897385168,1.6444034758954067,1.0277521724346292,15.277521724346293,skater
Steven Santini,TBL,D,2500,4.071467997203997,1.92,2.151467997203997,1.6285871988815988,1.0178669993009992,15.178669993009992,skater
Nikita Grebenkin,PHI,W,2500,4.0019468630184045,2.88,1.1219468630184046,1.6007787452073619,1.0004867157546011,15.00486715754601,skater
Dmitri Simashev,UTA,D,2500,3.8714381444852037,3.05,0.8214381444852039,1.5485752577940815,0.9678595361213009,14.67859536121301,skater
Connor Clattenburg,EDM,C,2500,3.7931245059197276,3.38,0.4131245059197277,1.517249802367891,0.9482811264799319,14.482811264799318,skater
Adam Boqvist,NYI,D,2500,3.7773481370821385,2.3,1.4773481370821386,1.5109392548328553,0.9443370342705346,14.443370342705347,skater
Brennan Othmann,NYR,W,2500,3.672710429392205,2.86,0.812710429392205,1.4690841717568819,0.9181776073480512,14.181776073480512,skater
Ross Johnston,ANA,W,2500,3.5647141513413074,2.52,1.0447141513413074,1.4258856605365229,0.8911785378353269,13.911785378353269,skater
Sam Colangelo,ANA,W,2500,3.5617222462645293,2.16,1.4017222462645291,1.4246888985058117,0.8904305615661323,13.904305615661324,skater
Conor Geekie,TBL,C,2500,3.4741296634000767,3.17,0.30412966340007674,1.3896518653600307,0.8685324158500192,13.685324158500192,skater
Michael Callahan,BOS,D,2500,3.4703961785459234,5.04,-1.5696038214540766,1.3881584714183695,0.8675990446364809,13.675990446364809,skater
Kevin Stenlund,UTA,C,2500,3.465311895615086,3.82,-0.35468810438491394,1.3861247582460343,0.8663279739037715,13.663279739037716,skater
Jack Finley,TBL,C,2500,3.4240005661874826,2.2,1.2240005661874824,1.3696002264749931,0.8560001415468707,13.560001415468706,skater
Kyle MacLean,NYI,C,2500,3.387415040019883,2.53,0.857415040019883,1.354966016007953,0.8468537600049707,13.468537600049707,skater
Adam Ginning,PHI,D,2500,3.374411714533509,1.9,1.4744117145335092,1.3497646858134036,0.8436029286333773,13.436029286333772,skater
Mattias Janmark,EDM,C,2500,3.3707566376202,2.7,0.6707566376201997,1.34830265504808,0.84268915940505,13.426891594050499,skater
Jansen Harkins,ANA,C,2600,3.283924555207394,2.87,0.413924555207394,1.2630479058489976,0.8209811388018485,13.209811388018485,skater
