game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts
2025-11-08,8477939,W. Nylander,R,9.3,15.504209,10.6284075
2025-11-08,8477940,N. Ehlers,L,6.5,11.410211,8.616598
2025-11-08,8477948,T. Sanheim,D,-0.5,5.1023235,3.5861084
2025-11-08,8477949,A. Tuch,R,16.3,14.591816,10.704941
2025-11-08,8477950,T. DeAngelo,D,3.3,4.5464315,2.776054
2025-11-08,8477951,N. Schmaltz,C,3.5,6.9433517,4.6109586
2025-11-08,8477956,D. Pastrnak,R,23.0,9.279375,6.1787863
2025-11-08,8477964,I. Barbashev,L,12.8,14.097269,10.265398
2025-11-08,8477969,M. Pettersson,D,11.2,9.801083,6.480327
2025-11-08,8477986,B. Montour,D,9.1,10.199267,6.3036747
2025-11-08,8477989,C. Dvorak,C,12.0,5.1504254,4.12884
2025-11-08,8477996,J. Lammikko,C,8.9,3.4916563,2.6982806
2025-11-08,8478010,B. Point,C,3.5,6.029377,4.6334543
2025-11-08,8478013,J. Walman,D,-0.2,6.9119434,4.2650595
2025-11-08,8478020,M. Amadio,R,10.5,9.193327,7.6414747
2025-11-08,8478038,D. Toews,D,22.1,7.016372,4.993832
2025-11-08,8478042,V. Arvidsson,L,19.5,5.980547,4.841577
2025-11-08,8478046,D. Heinen,L,2.8,2.3254538,1.146969
2025-11-08,8478047,M. Bunting,L,-0.5,9.066632,7.803409
2025-11-08,8478055,G. Forsling,D,7.3,7.1905866,4.7861733
2025-11-08,8478057,D. Joshua,C,3.3,5.4405255,4.568803
2025-11-08,8478109,V. Olofsson,L,7.0,14.778363,10.970934
2025-11-08,8478133,J. Evans,C,0.3,2.6454322,2.8755014
2025-11-08,8478178,D. Raddysh,D,2.8,2.7270567,2.014416
2025-11-08,8478233,A. Mangiapane,L,1.3,2.2528145,2.526282
2025-11-08,8478366,F. Vatrano,R,10.0,6.412121,6.2420406
2025-11-08,8478396,N. Hanifin,D,12.4,11.876685,5.3786883
2025-11-08,8478399,J. Siegenthaler,D,7.4,7.5188084,5.390707
2025-11-08,8478401,P. Zacha,C,2.0,6.234871,5.10368
2025-11-08,8478402,C. McDavid,C,14.3,11.679748,7.8196836
2025-11-08,8478403,J. Eichel,C,12.1,16.45824,10.935055
2025-11-08,8478407,V. Dunn,D,12.6,5.038254,3.2774231
2025-11-08,8478413,J. Greenway,L,6.3,2.3240457,2.056169
2025-11-08,8478414,T. Meier,R,12.0,11.774226,8.094148
2025-11-08,8478416,E. Cernak,D,1.5,6.4314766,4.57325
2025-11-08,8478420,M. Rantanen,R,10.1,15.833085,10.949106
2025-11-08,8478421,A. Greer,L,-0.5,0.95257545,1.3796484
2025-11-08,8478424,J. Harkins,C,0.0,3.2541788,3.738634
2025-11-08,8478427,S. Aho,C,26.0,10.18544,7.1563015
2025-11-08,8478434,K. Kolesar,R,1.6,2.5578947,2.5697424
2025-11-08,8478438,T. Novak,C,2.8,4.3005304,3.6484451
2025-11-08,8478439,T. Konecny,R,9.8,9.919419,6.3582344
